plate,mjd,fiberid,z,ra,dec,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw
297,51959,274,0.08228508,200.69605,-0.22992012,45.92983,11.40272,18.65848,46.16581,3.368135,23.11364,13.5268,-1.238794
297,51959,435,0.1101965,201.48577,0.26128111,135.9951,24.16837,11.27712,59.60506,3.945307,24.75661,20.25661,-17.41288
297,51959,444,0.08339652,201.68112,1.1376905,36.02884,20.19678,14.32544,30.76307,7.763696,13.91984,10.33965,-1.143896
297,51959,452,0.0842166,201.6567,1.128491,239.0484,55.04045,78.75027,146.1485,9.549414,49.63714,40.10477,-15.03094
297,51959,517,0.08205678,202.02874,0.29612372,94.65259,34.1088,12.18259,52.46113,3.330848,30.75437,13.51707,-7.175756
297,51959,606,0.0775668,202.35431,1.0765298,145.3262,34.52818,12.81408,47.1898,3.669027,26.42251,16.46424,-19.98113
298,51955,70,0.1669027,204.43724,-0.34746082,149.2036,31.63702,14.98689,49.67238,4.273731,25.12385,26.87594,-23.00277
298,51955,72,0.06156222,204.60742,-0.41259533,128.7561,36.14729,32.6343,86.52802,4.002503,35.81013,25.22216,-5.667568
298,51955,113,0.08710022,204.1418,-0.017416,260.155,74.37253,35.22395,70.08355,7.671339,51.23692,41.11524,-34.99912
298,51955,190,0.03440157,203.24709,-0.34537014,284.7762,94.07487,233.1602,24.66054,5.288564,34.74479,27.07072,-59.77465
299,51671,7,0.07644577,206.23626,-1.1438122,71.83186,20.31352,34.28698,92.70151,5.242312,46.10568,16.38937,-1.464911
299,51671,62,0.1255008,205.92515,-0.65153902,449.0101,62.44225,16.40124,246.057,10.73679,57.91851,49.50737,-39.87821
299,51671,80,0.1742985,206.18325,-0.31160036,180.8438,38.21346,17.97857,76.42622,15.91348,46.73118,29.71581,-30.97322
299,51671,106,0.06886413,205.74084,-0.46785566,29.64843,6.745217,2.01759,11.43195,1.070009,10.36292,5.834138,-4.908205
299,51671,173,0.08937021,205.48255,-0.38725748,41.70065,15.12687,14.68917,31.58872,6.943706,17.77779,15.21344,-1.857434
